depth,seed,round,test_acc,test_f1,test_auc,cumulative_bytes,n_params
2,2,15,0.6395404499760651,0.40380047505938244,0.6552515026890224,94080,49
2,2,16,0.6314025849688847,0.4040247678018576,0.6566875905359728,100352,49
2,2,17,0.6203925323121111,0.4024114544084401,0.6574465664318975,106624,49
2,2,18,0.6606031594064146,0.4066945606694561,0.6518284797726679,112896,49
2,2,19,0.6275730014360938,0.40610687022900765,0.6541844963563606,119168,49
2,2,20,0.688367640019148,0.4192685102586976,0.6584386464421097,125440,49
2,2,21,0.6548587841072283,0.4095004095004095,0.6544106628481994,131712,49
2,2,22,0.6960268070847295,0.41796516956920254,0.655780149519639,137984,49
2,2,23,0.6290090952608903,0.41064638783269963,0.6640275950870533,144256,49
2,2,24,0.6811871708951651,0.41986062717770034,0.6603048668809005,150528,49
2,2,25,0.6644327429392054,0.42304526748971194,0.6635877498237844,156800,49
2,3,1,0.5428434657730972,0.3013899049012436,0.49952962919795535,6272,49
2,3,2,0.6065102920057444,0.2751322751322751,0.5130108171409226,12544,49
2,3,3,0.5270464337003351,0.2972972972972973,0.5342524295553817,18816,49
2,3,4,0.6266156055528961,0.30604982206405695,0.5655105812617592,25088,49
2,3,5,0.5921493537577789,0.32701421800947866,0.5917930701476881,31360,49
2,3,6,0.5528961225466731,0.3477653631284916,0.6129583687152078,37632,49
2,3,7,0.5485878410722834,0.3518900343642612,0.6146400483968543,43904,49
2,3,8,0.5753949258018191,0.3595667870036101,0.6249923686153062,50176,49
2,3,9,0.5308760172331259,0.391304347826087,0.6399165820276728,56448,49
2,3,10,0.5801819052178075,0.38628411476557034,0.6416010367582987,62720,49
2,3,11,0.5102920057443753,0.38925373134328356,0.631463782835767,68992,49
2,3,12,0.5102920057443753,0.38852361028093246,0.6265658213867475,75264,49
2,3,13,0.5280038295835328,0.3743654822335025,0.625770769854088,81536,49
2,3,14,0.543322163714696,0.38212435233160624,0.6282627638377818,87808,49
2,3,15,0.546673049305888,0.3806409417920209,0.6282377883969652,94080,49
2,3,16,0.5265677357587363,0.37206349206349204,0.6213903550397664,100352,49
2,3,17,0.5428434657730972,0.3770384866275277,0.6271402565255276,106624,49
2,3,18,0.6026807084729535,0.38152011922503726,0.6266504603806257,112896,49
2,3,19,0.5835327908089996,0.3812233285917496,0.6357623337051899,119168,49
2,3,20,0.6160842508377214,0.3951734539969834,0.644241495862402,125440,49
2,3,21,0.6127333652465294,0.39761727475800446,0.652167035748181,131712,49
2,3,22,0.584968884633796,0.39243167484232655,0.6436129472685193,137984,49
2,3,23,0.6543800861656295,0.4003322259136213,0.6490617559399924,144256,49
2,3,24,0.6112972714217328,0.41244573082489144,0.6638486044278682,150528,49
2,3,25,0.6471996170416467,0.4108713029576339,0.6628010234380637,156800,49
2,4,1,0.5150789851603638,0.31322033898305085,0.5239597728899915,6272,49
2,4,2,0.6160842508377214,0.2877442273534636,0.5477780182820227,12544,49
2,4,3,0.5758736237434179,0.30236220472440944,0.5743102615761168,18816,49
2,4,4,0.6328386787936812,0.28116213683223995,0.5830419531904738,25088,49
2,4,5,0.6031594064145525,0.3108894430590191,0.5939243077640322,31360,49
2,4,6,0.6055528961225467,0.3063973063973064,0.5928656265783091,37632,49
2,4,7,0.5753949258018191,0.3075722092115535,0.5835039988455796,43904,49
2,4,8,0.5662996649114409,0.3083969465648855,0.5791998978781975,50176,49
2,4,9,0.5667783628530397,0.30863254392666156,0.5763568601985825,56448,49
2,4,10,0.5485878410722834,0.3151779230210603,0.5798076336047331,62720,49
2,4,11,0.5366203925323121,0.3287101248266297,0.5730101511291674,68992,49
2,4,12,0.6017233125897559,0.30782029950083195,0.5773045394251208,75264,49
2,4,13,0.5528961225466731,0.32611832611832614,0.5827491855231245,81536,49
2,4,14,0.6247008137865007,0.36363636363636365,0.6045249948661594,87808,49
2,4,15,0.6409765438008617,0.36548223350253806,0.6165090438846246,94080,49
2,4,16,0.6874102441359502,0.3641674780915287,0.6331315872725154,100352,49
2,4,17,0.649593106749641,0.39,0.6387441238337856,106624,49
2,4,18,0.66251795117281,0.38748913987836664,0.6426153171603479,112896,49
2,4,19,0.6428913355672571,0.3934959349593496,0.6437669624868879,119168,49
2,4,20,0.6649114408808042,0.3934142114384749,0.6434145312664767,125440,49
2,4,21,0.6074676878889421,0.3889716840536513,0.6405645559644128,131712,49
2,4,22,0.6558161799904261,0.3859948761742101,0.6326057154908784,137984,49
