model,qubits,seed,round,test_acc,test_f1,test_auc,round_bytes,cumulative_bytes,wall_seconds,n_params
MatchedMLP,4.0,2,25,0.7376735280038296,0.571875,0.8497935363559167,3200,80000,0.029750347137451172,25
VQC,4.0,3,1,0.5495452369554811,0.29828486204325133,0.5115705667205026,3200,3200,0.373441219329834,25
VQC,4.0,3,2,0.5710866443274294,0.30970724191063176,0.5201107799552662,3200,6400,0.36257266998291016,25
VQC,4.0,3,3,0.5031115366203925,0.30892143808255657,0.5297277121941203,3200,9600,0.3722376823425293,25
VQC,4.0,3,4,0.5394925801819053,0.3177304964539007,0.5430201968064736,3200,12800,0.3700125217437744,25
VQC,4.0,3,5,0.46481570129248445,0.31912302070645554,0.5499730820248977,3200,16000,0.3666679859161377,25
VQC,4.0,3,6,0.5088559119195788,0.33116036505867014,0.5628215588005128,3200,19200,0.3644905090332031,25
VQC,4.0,3,7,0.46864528482527523,0.3416370106761566,0.5637567503066429,3200,22400,0.3678011894226074,25
VQC,4.0,3,8,0.5098133078027764,0.36,0.5886128640170499,3200,25600,0.36185431480407715,25
VQC,4.0,3,9,0.47247486835806607,0.3717217787913341,0.6162246013642141,3200,28800,0.35332751274108887,25
VQC,4.0,3,10,0.5461943513642892,0.41044776119402987,0.6554013553339216,3200,32000,0.3813498020172119,25
VQC,4.0,3,11,0.5404499760651029,0.42028985507246375,0.6550503116380005,3200,35200,0.35962700843811035,25
VQC,4.0,3,12,0.578745811393011,0.4225721784776903,0.6501759381053075,3200,38400,0.35269594192504883,25
VQC,4.0,3,13,0.5816179990426041,0.4287581699346405,0.6569054318808727,3200,41600,0.3808746337890625,25
VQC,4.0,3,14,0.559597893729057,0.42355889724310775,0.650900225888987,3200,44800,0.3730902671813965,25
VQC,4.0,3,15,0.5414073719483006,0.41226993865030676,0.6433382174195375,3200,48000,0.3679230213165283,25
VQC,4.0,3,16,0.5964576352321685,0.4307900067521945,0.6547880695094268,3200,51200,0.38706231117248535,25
VQC,4.0,3,17,0.5213020584011488,0.4186046511627907,0.6489826670440733,3200,54400,0.3724400997161865,25
VQC,4.0,3,18,0.5658209669698421,0.38508474576271184,0.620896396321395,3200,57600,0.33171510696411133,25
VQC,4.0,3,19,0.5452369554810914,0.3979721166032953,0.6296211503133031,3200,60800,0.34978151321411133,25
VQC,4.0,3,20,0.5543322163714696,0.3989670755326017,0.6323795489990398,3200,64000,0.33925819396972656,25
VQC,4.0,3,21,0.5246529439923409,0.40574506283662476,0.6435574462889271,3200,67200,0.34423089027404785,25
VQC,4.0,3,22,0.588319770224988,0.362962962962963,0.6219731153254855,3200,70400,0.34018659591674805,25
VQC,4.0,3,23,0.5438008616562949,0.3759004584151932,0.6099973914539591,3200,73600,0.35769057273864746,25
VQC,4.0,3,24,0.6031594064145525,0.3657230298393267,0.6218981890030358,3200,76800,0.3709220886230469,25
VQC,4.0,3,25,0.5213020584011488,0.4019138755980861,0.634272132403137,3200,80000,0.3612630367279053,25
MatchedMLP,4.0,3,1,0.8042125418860699,0.5726227795193313,0.8265372383822575,3200,3200,0.030850648880004883,25
MatchedMLP,4.0,3,2,0.7797989468645284,0.576427255985267,0.8309398535884157,3200,6400,0.025027036666870117,25
MatchedMLP,4.0,3,3,0.7640019147917664,0.5716768027801912,0.83458210537416,3200,9600,0.02339458465576172,25
MatchedMLP,4.0,3,4,0.7558640497845859,0.5764119601328903,0.8385129622537838,3200,12800,0.022583484649658203,25
MatchedMLP,4.0,3,5,0.7448539971278123,0.5725741780272654,0.8411395461129889,3200,16000,0.0307161808013916,25
MatchedMLP,4.0,3,6,0.736237434179033,0.5691946833463644,0.8431375813783113,3200,19200,0.026230812072753906,25
MatchedMLP,4.0,3,7,0.7343226424126377,0.5687645687645687,0.844781797898733,3200,22400,0.022063732147216797,25
MatchedMLP,4.0,3,8,0.7314504547630445,0.5674633770239013,0.8457711028599655,3200,25600,0.02190995216369629,25
MatchedMLP,4.0,3,9,0.730014360938248,0.5661538461538461,0.8466840939742586,3200,28800,0.022556543350219727,25
MatchedMLP,4.0,3,10,0.730014360938248,0.5681470137825421,0.8471766651681402,3200,32000,0.022909164428710938,25
MatchedMLP,4.0,3,11,0.7290569650550502,0.5679389312977099,0.8479439662110037,3200,35200,0.029047250747680664,25
MatchedMLP,4.0,3,12,0.7290569650550502,0.5672782874617737,0.8483123539630474,3200,38400,0.030006885528564453,25
MatchedMLP,4.0,3,13,0.7290569650550502,0.5666156202143952,0.8485739023293761,3200,41600,0.028657913208007812,25
MatchedMLP,4.0,3,14,0.730014360938248,0.5694656488549619,0.8492662770497899,3200,44800,0.028742074966430664,25
MatchedMLP,4.0,3,15,0.7314504547630445,0.5694551036070606,0.8494112733589748,3200,48000,0.029184341430664062,25
MatchedMLP,4.0,3,16,0.7319291527046433,0.5712098009188361,0.8495215815559145,3200,51200,0.03428936004638672,25
MatchedMLP,4.0,3,17,0.7314504547630445,0.5707727620504973,0.8497782735865287,3200,54400,0.02748584747314453,25
MatchedMLP,4.0,3,18,0.736237434179033,0.5718725718725719,0.8496096893610173,3200,57600,0.021810054779052734,25
MatchedMLP,4.0,3,19,0.7371948300622307,0.5727626459143969,0.8497949238804066,3200,60800,0.029506683349609375,25
MatchedMLP,4.0,3,20,0.7381522259454284,0.573655494933749,0.8498323870416313,3200,64000,0.03064894676208496,25
MatchedMLP,4.0,3,21,0.7381522259454284,0.5729898516783762,0.8498448747620395,3200,67200,0.030668020248413086,25
MatchedMLP,4.0,3,22,0.7405457156534226,0.5752351097178683,0.8497532981457123,3200,70400,0.030283689498901367,25
MatchedMLP,4.0,3,23,0.7400670177118238,0.5747846515270164,0.8495840201579559,3200,73600,0.030788421630859375,25
MatchedMLP,4.0,3,24,0.7352800382958353,0.5716498838109992,0.8500072151273469,3200,76800,0.03225350379943848,25
MatchedMLP,4.0,3,25,0.736237434179033,0.5745173745173745,0.8502541944865327,3200,80000,0.03159666061401367,25
VQC,4.0,4,1,0.5404499760651029,0.30935251798561153,0.5295237460941186,3200,3200,0.3707857131958008,25
VQC,4.0,4,2,0.5509813307802777,0.31332357247437775,0.5397262136676713,3200,6400,0.37437009811401367,25
VQC,4.0,4,3,0.48922929631402584,0.31994901210962395,0.5476489785044706,3200,9600,0.37671589851379395,25
VQC,4.0,4,4,0.6136907611297271,0.30008673026886384,0.5504961787575551,3200,12800,0.35834813117980957,25
VQC,4.0,4,5,0.443752991862135,0.3367579908675799,0.5699770225944488,3200,16000,0.3645637035369873,25
VQC,4.0,4,6,0.5926280516993777,0.3468917881811205,0.5804528324924936,3200,19200,0.3560934066772461,25
VQC,4.0,4,7,0.4748683580660603,0.3805759457933371,0.6180880467540253,3200,22400,0.3862297534942627,25
VQC,4.0,4,8,0.6074676878889421,0.366306027820711,0.6410432519133963,3200,25600,0.3986377716064453,25
VQC,4.0,4,9,0.5074198180947822,0.40963855421686746,0.6700855270095518,3200,28800,0.3602876663208008,25
VQC,4.0,4,10,0.5117280995691719,0.41580756013745707,0.6831324197872092,3200,32000,0.3426473140716553,25
VQC,4.0,4,11,0.5658209669698421,0.379192334017796,0.6688936434728073,3200,35200,0.38869738578796387,25
VQC,4.0,4,12,0.5758736237434179,0.36984352773826457,0.6638999428339911,3200,38400,0.3829827308654785,25
VQC,4.0,4,13,0.5160363810435615,0.38316046369737644,0.6742647507728512,3200,41600,0.37752842903137207,25
VQC,4.0,4,14,0.5686931546194351,0.3756063756063756,0.673668115242234,3200,44800,0.3639247417449951,25
VQC,4.0,4,15,0.584968884633796,0.37037037037037035,0.6702173418360834,3200,48000,0.38915419578552246,25
VQC,4.0,4,16,0.5404499760651029,0.375,0.6744812045932611,3200,51200,0.3532576560974121,25
